origin_country,q6_b,destination_country,origin_code,origin_region,destination_code,destination_region
Italy,No,Germany,ITA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Spain,No,Austria,ESP,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
China,No,United Kingdom,CHN,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
Ethiopia,No,Kenya,ETH,Sub-Saharan Africa (WB),KEN,Sub-Saharan Africa (WB)
Hungary,No,Belgium,HUN,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Bangladesh,No,Saudi Arabia,BGD,South Asia (WB),SAU,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
India,No,Austria,IND,South Asia (WB),AUT,Europe and Central Asia (WB)
China,No,France,CHN,East Asia and Pacific (WB),FRA,Europe and Central Asia (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Pakistan,No,Germany,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",DEU,Europe and Central Asia (WB)
Iran,No,Canada,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CAN,North America (WB)
Sri Lanka,No,Canada,LKA,South Asia (WB),CAN,North America (WB)
Ireland,No,United Kingdom,IRL,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Finland,No,Czechia,FIN,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
Colombia,No,United States,COL,Latin America and Caribbean (WB),USA,North America (WB)
Canada,No,Germany,CAN,North America (WB),DEU,Europe and Central Asia (WB)
Luxembourg,No,Austria,LUX,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Germany,No,Norway,DEU,Europe and Central Asia (WB),NOR,Europe and Central Asia (WB)
Iran,No,United Kingdom,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",GBR,Europe and Central Asia (WB)
Spain,No,Austria,ESP,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Sweden,No,Norway,SWE,Europe and Central Asia (WB),NOR,Europe and Central Asia (WB)
India,No,Austria,IND,South Asia (WB),AUT,Europe and Central Asia (WB)
Brazil,No,Portugal,BRA,Latin America and Caribbean (WB),PRT,Europe and Central Asia (WB)
Pakistan,No,Malaysia,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",MYS,East Asia and Pacific (WB)
China,No,Switzerland,CHN,East Asia and Pacific (WB),CHE,Europe and Central Asia (WB)
Kenya,No,South Africa,KEN,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Romania,No,Belgium,ROU,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Iran,No,United States,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Indonesia,No,Australia,IDN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Peru,No,Netherlands,PER,Latin America and Caribbean (WB),NLD,Europe and Central Asia (WB)
Cuba,No,France,CUB,Latin America and Caribbean (WB),FRA,Europe and Central Asia (WB)
India,No,Norway,IND,South Asia (WB),NOR,Europe and Central Asia (WB)
Indonesia,No,Australia,IDN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
France,No,Canada,FRA,Europe and Central Asia (WB),CAN,North America (WB)
Colombia,No,Canada,COL,Latin America and Caribbean (WB),CAN,North America (WB)
Venezuela,No,Netherlands,VEN,Latin America and Caribbean (WB),NLD,Europe and Central Asia (WB)
United States,No,Japan,USA,North America (WB),JPN,East Asia and Pacific (WB)
United States,No,Iceland,USA,North America (WB),ISL,Europe and Central Asia (WB)
France,No,Belgium,FRA,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Bosnia and Herzegovina,No,Serbia,BIH,Europe and Central Asia (WB),SRB,Europe and Central Asia (WB)
Greece,No,Switzerland,GRC,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Afghanistan,No,United States,AFG,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Russia,No,Austria,RUS,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Egypt,No,Germany,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",DEU,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Pakistan,No,Ghana,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",GHA,Sub-Saharan Africa (WB)
Nigeria,No,China,NGA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Argentina,No,Netherlands,ARG,Latin America and Caribbean (WB),NLD,Europe and Central Asia (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Ghana,No,China,GHA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Greece,No,Switzerland,GRC,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Iran,No,Canada,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CAN,North America (WB)
South Africa,No,Canada,ZAF,Sub-Saharan Africa (WB),CAN,North America (WB)
Argentina,No,Norway,ARG,Latin America and Caribbean (WB),NOR,Europe and Central Asia (WB)
Spain,No,Canada,ESP,Europe and Central Asia (WB),CAN,North America (WB)
Zimbabwe,No,South Africa,ZWE,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Vietnam,No,Thailand,VNM,East Asia and Pacific (WB),THA,East Asia and Pacific (WB)
United Kingdom,No,United States,GBR,Europe and Central Asia (WB),USA,North America (WB)
Turkmenistan,No,United States,TKM,Europe and Central Asia (WB),USA,North America (WB)
Pakistan,No,United States,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Malaysia,No,Taiwan,MYS,East Asia and Pacific (WB),TWN,East Asia and Pacific (WB)
India,No,Malaysia,IND,South Asia (WB),MYS,East Asia and Pacific (WB)
New Zealand,No,Australia,NZL,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Italy,No,Czechia,ITA,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
France,No,Australia,FRA,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Canada,No,United Kingdom,CAN,North America (WB),GBR,Europe and Central Asia (WB)
Albania,No,Italy,ALB,Europe and Central Asia (WB),ITA,Europe and Central Asia (WB)
Iran,No,Russia,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",RUS,Europe and Central Asia (WB)
Namibia,No,United Kingdom,NAM,Sub-Saharan Africa (WB),GBR,Europe and Central Asia (WB)
Germany,No,United States,DEU,Europe and Central Asia (WB),USA,North America (WB)
Spain,No,Belgium,ESP,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Germany,No,Luxembourg,DEU,Europe and Central Asia (WB),LUX,Europe and Central Asia (WB)
Mexico,No,Netherlands,MEX,Latin America and Caribbean (WB),NLD,Europe and Central Asia (WB)
Zimbabwe,No,South Africa,ZWE,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
United Kingdom,No,Switzerland,GBR,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Argentina,No,New Zealand,ARG,Latin America and Caribbean (WB),NZL,East Asia and Pacific (WB)
United Kingdom,No,South Africa,GBR,Europe and Central Asia (WB),ZAF,Sub-Saharan Africa (WB)
Brazil,No,Spain,BRA,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Turkey,No,Italy,TUR,Europe and Central Asia (WB),ITA,Europe and Central Asia (WB)
Chile,No,United Kingdom,CHL,Latin America and Caribbean (WB),GBR,Europe and Central Asia (WB)
Iran,No,Australia,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",AUS,East Asia and Pacific (WB)
Vietnam,No,South Korea,VNM,East Asia and Pacific (WB),KOR,East Asia and Pacific (WB)
Bulgaria,No,Spain,BGR,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Iraq,No,India,IRQ,"Middle East, North Africa, Afghanistan and Pakistan (WB)",IND,South Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
India,No,Israel,IND,South Asia (WB),ISR,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
United States,No,Italy,USA,North America (WB),ITA,Europe and Central Asia (WB)
South Korea,No,United States,KOR,East Asia and Pacific (WB),USA,North America (WB)
India,No,Belgium,IND,South Asia (WB),BEL,Europe and Central Asia (WB)
Nigeria,No,South Africa,NGA,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Ecuador,No,Chile,ECU,Latin America and Caribbean (WB),CHL,Latin America and Caribbean (WB)
Peru,No,Poland,PER,Latin America and Caribbean (WB),POL,Europe and Central Asia (WB)
Iran,No,Spain,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ESP,Europe and Central Asia (WB)
United States,No,United States,USA,North America (WB),USA,North America (WB)
South Africa,No,Finland,ZAF,Sub-Saharan Africa (WB),FIN,Europe and Central Asia (WB)
Pakistan,No,Belgium,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",BEL,Europe and Central Asia (WB)
Germany,No,Australia,DEU,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Nigeria,No,India,NGA,Sub-Saharan Africa (WB),IND,South Asia (WB)
Romania,No,Hungary,ROU,Europe and Central Asia (WB),HUN,Europe and Central Asia (WB)
Tanzania,No,Germany,TZA,Sub-Saharan Africa (WB),DEU,Europe and Central Asia (WB)
Spain,No,Germany,ESP,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Egypt,No,United Kingdom,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",GBR,Europe and Central Asia (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
India,No,Israel,IND,South Asia (WB),ISR,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
Somalia,No,Thailand,SOM,Sub-Saharan Africa (WB),THA,East Asia and Pacific (WB)
Thailand,No,Thailand,THA,East Asia and Pacific (WB),THA,East Asia and Pacific (WB)
Germany,No,Switzerland,DEU,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Tunisia,No,Italy,TUN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ITA,Europe and Central Asia (WB)
Germany,No,Ireland,DEU,Europe and Central Asia (WB),IRL,Europe and Central Asia (WB)
Italy,No,Netherlands,ITA,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Brazil,No,Portugal,BRA,Latin America and Caribbean (WB),PRT,Europe and Central Asia (WB)
Italy,No,China,ITA,Europe and Central Asia (WB),CHN,East Asia and Pacific (WB)
Romania,No,United Kingdom,ROU,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Portugal,No,Germany,PRT,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Uganda,No,United Kingdom,UGA,Sub-Saharan Africa (WB),GBR,Europe and Central Asia (WB)
Pakistan,No,France,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",FRA,Europe and Central Asia (WB)
Guatemala,No,Switzerland,GTM,Latin America and Caribbean (WB),CHE,Europe and Central Asia (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Germany,No,Sweden,DEU,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Peru,No,Netherlands,PER,Latin America and Caribbean (WB),NLD,Europe and Central Asia (WB)
United States,No,United Kingdom,USA,North America (WB),GBR,Europe and Central Asia (WB)
China,No,Japan,CHN,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
India,No,Canada,IND,South Asia (WB),CAN,North America (WB)
India,No,India,IND,South Asia (WB),IND,South Asia (WB)
India,No,Australia,IND,South Asia (WB),AUS,East Asia and Pacific (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Italy,No,Switzerland,ITA,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Iran,No,Germany,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",DEU,Europe and Central Asia (WB)
South Sudan,No,India,SSD,Sub-Saharan Africa (WB),IND,South Asia (WB)
El Salvador,No,United Kingdom,SLV,Latin America and Caribbean (WB),GBR,Europe and Central Asia (WB)
Pakistan,No,Czechia,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CZE,Europe and Central Asia (WB)
India,No,Australia,IND,South Asia (WB),AUS,East Asia and Pacific (WB)
Iran,No,United States,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Pakistan,No,Italy,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ITA,Europe and Central Asia (WB)
China,No,France,CHN,East Asia and Pacific (WB),FRA,Europe and Central Asia (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Ireland,No,Spain,IRL,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Jordan,No,Malaysia,JOR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",MYS,East Asia and Pacific (WB)
India,No,Austria,IND,South Asia (WB),AUT,Europe and Central Asia (WB)
China,No,New Zealand,CHN,East Asia and Pacific (WB),NZL,East Asia and Pacific (WB)
Italy,No,Spain,ITA,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Netherlands,No,Sweden,NLD,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Uganda,No,United States,UGA,Sub-Saharan Africa (WB),USA,North America (WB)
Ethiopia,No,Canada,ETH,Sub-Saharan Africa (WB),CAN,North America (WB)
Germany,No,United Kingdom,DEU,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Ecuador,No,Germany,ECU,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Peru,No,Sweden,PER,Latin America and Caribbean (WB),SWE,Europe and Central Asia (WB)
Jordan,No,Japan,JOR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",JPN,East Asia and Pacific (WB)
Indonesia,No,India,IDN,East Asia and Pacific (WB),IND,South Asia (WB)
Germany,No,Norway,DEU,Europe and Central Asia (WB),NOR,Europe and Central Asia (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Nigeria,No,Uganda,NGA,Sub-Saharan Africa (WB),UGA,Sub-Saharan Africa (WB)
Malaysia,No,Taiwan,MYS,East Asia and Pacific (WB),TWN,East Asia and Pacific (WB)
Zimbabwe,No,Botswana,ZWE,Sub-Saharan Africa (WB),BWA,Sub-Saharan Africa (WB)
United States,No,Australia,USA,North America (WB),AUS,East Asia and Pacific (WB)
United States,No,Spain,USA,North America (WB),ESP,Europe and Central Asia (WB)
China,No,United Kingdom,CHN,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
Vietnam,No,Taiwan,VNM,East Asia and Pacific (WB),TWN,East Asia and Pacific (WB)
Philippines,No,United States,PHL,East Asia and Pacific (WB),USA,North America (WB)
Italy,No,Sweden,ITA,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
France,No,United Kingdom,FRA,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
United Kingdom,No,United Kingdom,GBR,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Greece,No,United Kingdom,GRC,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Slovakia,No,Germany,SVK,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Pakistan,No,Germany,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",DEU,Europe and Central Asia (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Sri Lanka,No,United Kingdom,LKA,South Asia (WB),GBR,Europe and Central Asia (WB)
Costa Rica,No,Germany,CRI,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Russia,No,Germany,RUS,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Australia,No,Spain,AUS,East Asia and Pacific (WB),ESP,Europe and Central Asia (WB)
Colombia,No,United States,COL,Latin America and Caribbean (WB),USA,North America (WB)
United States,No,Canada,USA,North America (WB),CAN,North America (WB)
Democratic Republic of Congo,No,France,COD,Sub-Saharan Africa (WB),FRA,Europe and Central Asia (WB)
Mexico,No,United Kingdom,MEX,Latin America and Caribbean (WB),GBR,Europe and Central Asia (WB)
Bosnia and Herzegovina,No,Peru,BIH,Europe and Central Asia (WB),PER,Latin America and Caribbean (WB)
India,No,Czechia,IND,South Asia (WB),CZE,Europe and Central Asia (WB)
Belarus,No,Sweden,BLR,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
United Kingdom,No,Switzerland,GBR,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Bosnia and Herzegovina,No,Germany,BIH,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Ghana,No,United States,GHA,Sub-Saharan Africa (WB),USA,North America (WB)
China,No,Canada,CHN,East Asia and Pacific (WB),CAN,North America (WB)
United States,No,Australia,USA,North America (WB),AUS,East Asia and Pacific (WB)
India,No,Switzerland,IND,South Asia (WB),CHE,Europe and Central Asia (WB)
Ethiopia,No,South Africa,ETH,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Israel,No,United States,ISR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
United Kingdom,No,Germany,GBR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Nigeria,No,Brazil,NGA,Sub-Saharan Africa (WB),BRA,Latin America and Caribbean (WB)
France,No,Australia,FRA,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Fiji,No,New Zealand,FJI,East Asia and Pacific (WB),NZL,East Asia and Pacific (WB)
Egypt,No,Turkey,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",TUR,Europe and Central Asia (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Egypt,No,Canada,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CAN,North America (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Belgium,No,United Kingdom,BEL,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Ghana,No,Finland,GHA,Sub-Saharan Africa (WB),FIN,Europe and Central Asia (WB)
Ethiopia,No,Taiwan,ETH,Sub-Saharan Africa (WB),TWN,East Asia and Pacific (WB)
Germany,No,Spain,DEU,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Peru,No,United States,PER,Latin America and Caribbean (WB),USA,North America (WB)
United States,No,Germany,USA,North America (WB),DEU,Europe and Central Asia (WB)
Nigeria,No,China,NGA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Nigeria,No,Hungary,NGA,Sub-Saharan Africa (WB),HUN,Europe and Central Asia (WB)
Egypt,No,United States,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Indonesia,No,United Kingdom,IDN,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
India,No,United Arab Emirates,IND,South Asia (WB),ARE,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
France,No,United Kingdom,FRA,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Ghana,No,Hungary,GHA,Sub-Saharan Africa (WB),HUN,Europe and Central Asia (WB)
Mexico,No,Saudi Arabia,MEX,Latin America and Caribbean (WB),SAU,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
India,No,France,IND,South Asia (WB),FRA,Europe and Central Asia (WB)
Ghana,No,South Korea,GHA,Sub-Saharan Africa (WB),KOR,East Asia and Pacific (WB)
Kenya,No,Germany,KEN,Sub-Saharan Africa (WB),DEU,Europe and Central Asia (WB)
Portugal,No,Austria,PRT,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Nepal,No,South Korea,NPL,South Asia (WB),KOR,East Asia and Pacific (WB)
Turkey,No,Germany,TUR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Iran,No,Australia,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",AUS,East Asia and Pacific (WB)
Germany,No,Switzerland,DEU,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Nigeria,No,Malaysia,NGA,Sub-Saharan Africa (WB),MYS,East Asia and Pacific (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
China,No,Canada,CHN,East Asia and Pacific (WB),CAN,North America (WB)
Cambodia,No,Taiwan,KHM,East Asia and Pacific (WB),TWN,East Asia and Pacific (WB)
Iran,No,Canada,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CAN,North America (WB)
Nepal,No,United States,NPL,South Asia (WB),USA,North America (WB)
Philippines,No,Thailand,PHL,East Asia and Pacific (WB),THA,East Asia and Pacific (WB)
Colombia,No,Switzerland,COL,Latin America and Caribbean (WB),CHE,Europe and Central Asia (WB)
India,No,Sweden,IND,South Asia (WB),SWE,Europe and Central Asia (WB)
France,No,Sweden,FRA,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
France,No,Germany,FRA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Greece,No,Germany,GRC,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
India,No,South Korea,IND,South Asia (WB),KOR,East Asia and Pacific (WB)
Indonesia,No,Netherlands,IDN,East Asia and Pacific (WB),NLD,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Colombia,No,United States,COL,Latin America and Caribbean (WB),USA,North America (WB)
Mexico,No,Portugal,MEX,Latin America and Caribbean (WB),PRT,Europe and Central Asia (WB)
Ecuador,No,Germany,ECU,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Iran,No,Poland,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",POL,Europe and Central Asia (WB)
United States,No,Germany,USA,North America (WB),DEU,Europe and Central Asia (WB)
Nigeria,No,India,NGA,Sub-Saharan Africa (WB),IND,South Asia (WB)
Egypt,No,United States,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Cuba,No,Belgium,CUB,Latin America and Caribbean (WB),BEL,Europe and Central Asia (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Chile,No,Spain,CHL,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Ghana,No,South Africa,GHA,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
India,No,Belgium,IND,South Asia (WB),BEL,Europe and Central Asia (WB)
Portugal,No,United Kingdom,PRT,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Kazakhstan,No,Italy,KAZ,Europe and Central Asia (WB),ITA,Europe and Central Asia (WB)
Iran,No,Australia,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",AUS,East Asia and Pacific (WB)
Russia,No,Spain,RUS,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
Italy,No,Spain,ITA,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Sri Lanka,No,Taiwan,LKA,South Asia (WB),TWN,East Asia and Pacific (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
India,No,France,IND,South Asia (WB),FRA,Europe and Central Asia (WB)
India,No,Netherlands,IND,South Asia (WB),NLD,Europe and Central Asia (WB)
Iran,No,Canada,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CAN,North America (WB)
Taiwan,No,Taiwan,TWN,East Asia and Pacific (WB),TWN,East Asia and Pacific (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Bolivia,No,Brazil,BOL,Latin America and Caribbean (WB),BRA,Latin America and Caribbean (WB)
Argentina,No,Argentina,ARG,Latin America and Caribbean (WB),ARG,Latin America and Caribbean (WB)
Azerbaijan,No,United States,AZE,Europe and Central Asia (WB),USA,North America (WB)
Ethiopia,No,China,ETH,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Turkey,No,Netherlands,TUR,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Brazil,No,Germany,BRA,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Greece,No,United Kingdom,GRC,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Sri Lanka,No,Taiwan,LKA,South Asia (WB),TWN,East Asia and Pacific (WB)
Brazil,No,Mexico,BRA,Latin America and Caribbean (WB),MEX,Latin America and Caribbean (WB)
Italy,No,Poland,ITA,Europe and Central Asia (WB),POL,Europe and Central Asia (WB)
Poland,No,Netherlands,POL,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
United Kingdom,No,France,GBR,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
France,No,Belgium,FRA,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
South Korea,No,United States,KOR,East Asia and Pacific (WB),USA,North America (WB)
China,No,United Kingdom,CHN,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
Spain,No,Germany,ESP,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Romania,No,Switzerland,ROU,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
United States,No,Sweden,USA,North America (WB),SWE,Europe and Central Asia (WB)
New Zealand,No,Australia,NZL,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Spain,No,France,ESP,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
Indonesia,No,Taiwan,IDN,East Asia and Pacific (WB),TWN,East Asia and Pacific (WB)
Spain,No,United Kingdom,ESP,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Italy,No,Spain,ITA,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Spain,No,Germany,ESP,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Benin,No,Burkina Faso,BEN,Sub-Saharan Africa (WB),BFA,Sub-Saharan Africa (WB)
China,No,New Zealand,CHN,East Asia and Pacific (WB),NZL,East Asia and Pacific (WB)
Bangladesh,No,United States,BGD,South Asia (WB),USA,North America (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Turkey,No,Sweden,TUR,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Germany,No,Austria,DEU,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Malaysia,No,United Kingdom,MYS,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
Egypt,No,United States,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Saudi Arabia,No,Sweden,SAU,"Middle East, North Africa, Afghanistan and Pakistan (WB)",SWE,Europe and Central Asia (WB)
United States,No,United Kingdom,USA,North America (WB),GBR,Europe and Central Asia (WB)
Brazil,No,Japan,BRA,Latin America and Caribbean (WB),JPN,East Asia and Pacific (WB)
Ethiopia,No,Australia,ETH,Sub-Saharan Africa (WB),AUS,East Asia and Pacific (WB)
Iran,No,United States,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
United Kingdom,No,New Zealand,GBR,Europe and Central Asia (WB),NZL,East Asia and Pacific (WB)
China,No,United Kingdom,CHN,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
Pakistan,No,Canada,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CAN,North America (WB)
